2020-07-21 00:00:52.424  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: minbetbot with dateString 07-21-2020
2020-07-21 00:00:52.428  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: allinbetcountbot with dateString 07-21-2020
2020-07-21 00:00:52.432  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: betcount40percent with dateString 07-21-2020
2020-07-21 00:00:52.433  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: betcount62percent with dateString 07-21-2020
2020-07-21 00:00:52.435  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: betcount10increment with dateString 07-21-2020
2020-07-21 00:00:52.439  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: betcount20increment with dateString 07-21-2020
2020-07-21 00:00:52.440  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: betcount50increment with dateString 07-21-2020
2020-07-21 00:00:52.442  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: betcount75increment with dateString 07-21-2020
2020-07-21 00:00:52.443  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: betcount100increment with dateString 07-21-2020
2020-07-21 00:00:52.445  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: betcount150increment with dateString 07-21-2020
2020-07-21 00:00:52.446  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: betcount10nsquaredincrement with dateString 07-21-2020
2020-07-21 00:00:52.448  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: betcountbet500ifable with dateString 07-21-2020
2020-07-21 00:00:52.450  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: betcountbet1000ifable with dateString 07-21-2020
2020-07-21 00:00:52.451  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: datadrivenbot with dateString 07-21-2020
2020-07-21 00:00:52.452  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: oddsbot with dateString 07-21-2020
2020-07-21 00:00:52.453  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: allinrandombot with dateString 07-21-2020
2020-07-21 00:00:52.454  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: randomrandombot with dateString 07-21-2020
2020-07-21 00:00:52.456  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: halfrandombot with dateString 07-21-2020
2020-07-21 00:00:52.457  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: leftminimumbot with dateString 07-21-2020
2020-07-21 00:00:52.459  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: lefthalfbot with dateString 07-21-2020
2020-07-21 00:00:52.460  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: leftallinbot with dateString 07-21-2020
2020-07-21 00:00:52.462  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: rightminimumbot with dateString 07-21-2020
2020-07-21 00:00:52.463  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: righthalfbot with dateString 07-21-2020
2020-07-21 00:00:52.466  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : creating new bot data entry for: rightallinbot with dateString 07-21-2020
2020-07-21 00:00:52.466  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : primary bot is minbetbot
2020-07-21 00:01:25.466  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot minbetbot: The leftScore is 2.0 and the rightScore is 8.0
2020-07-21 00:01:25.466  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Betting Enabled is false for this server
2020-07-21 00:01:25.467  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot minbetbot: The leftScore is 2.0 and the rightScore is 8.0
2020-07-21 00:01:25.467  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot minbetbot created bet with !betf yellow
2020-07-21 00:01:25.468  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot allinbetcountbot: The leftScore is 2.0 and the rightScore is 8.0
2020-07-21 00:01:25.468  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot allinbetcountbot created bet with !allin yellow
2020-07-21 00:01:25.469  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount40percent: The leftScore is 2.0 and the rightScore is 8.0
2020-07-21 00:01:25.469  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount40percent created bet with !bet 40% yellow
2020-07-21 00:01:25.469  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount62percent: The leftScore is 2.0 and the rightScore is 8.0
2020-07-21 00:01:25.469  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount62percent created bet with !bet 62% yellow
2020-07-21 00:01:25.472  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount10increment: The leftScore is 2.0 and the rightScore is 8.0
2020-07-21 00:01:25.473  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount10increment created bet with !bet yellow 200
2020-07-21 00:01:25.474  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount20increment: The leftScore is 2.0 and the rightScore is 8.0
2020-07-21 00:01:25.475  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount20increment created bet with !bet yellow 200
2020-07-21 00:01:25.476  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount50increment: The leftScore is 2.0 and the rightScore is 8.0
2020-07-21 00:01:25.477  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount50increment created bet with !bet yellow 200
2020-07-21 00:01:25.479  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount75increment: The leftScore is 2.0 and the rightScore is 8.0
2020-07-21 00:01:25.480  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount75increment created bet with !bet yellow 200
2020-07-21 00:01:25.482  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount100increment: The leftScore is 2.0 and the rightScore is 8.0
2020-07-21 00:01:25.482  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount100increment created bet with !bet yellow 200
2020-07-21 00:01:25.484  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount150increment: The leftScore is 2.0 and the rightScore is 8.0
2020-07-21 00:01:25.485  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount150increment created bet with !bet yellow 200
2020-07-21 00:01:25.486  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount10nsquaredincrement: The leftScore is 2.0 and the rightScore is 8.0
2020-07-21 00:01:25.487  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount10nsquaredincrement created bet with !bet yellow 200
2020-07-21 00:01:25.488  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcountbet500ifable: The leftScore is 2.0 and the rightScore is 8.0
